utility_name,respondent_id,year,customer_id,customer_name,customers,sales,revenues
Arizona Public Service Co.,7,2014,2,commercial,124460,12337218,1349585933
Arizona Public Service Co.,7,2014,3,industrial,3728,2269263,187964502
Arizona Public Service Co.,7,2014,8,public_authorities,156,2729,182742
Arizona Public Service Co.,7,2014,4,public_street_and_highway_lighting,1007,137571,21012878
Arizona Public Service Co.,7,2014,6,residential,1033728,12837752,1639833740
Arizona Public Service Co.,7,2014,1,sales_for_resale,55,5366855,258829659
Arizona Public Service Co.,7,2013,2,commercial,123319,12449137,1353056690
Arizona Public Service Co.,7,2013,3,industrial,3701,2203023,181069152
Arizona Public Service Co.,7,2013,8,public_authorities,159,2866,188950
Arizona Public Service Co.,7,2013,4,public_street_and_highway_lighting,991,142483,21785104
Arizona Public Service Co.,7,2013,5,rate_refunds,3882,,4818118
Arizona Public Service Co.,7,2013,6,residential,1019292,13290096,1672832847
Arizona Public Service Co.,7,2013,1,sales_for_resale,52,3999940,186036468
Arizona Public Service Co.,7,2012,2,commercial,122360,12531865,1274445187
Arizona Public Service Co.,7,2012,3,industrial,3721,2222623,174856673
Arizona Public Service Co.,7,2012,8,public_authorities,160,3071,183950
Arizona Public Service Co.,7,2012,4,public_street_and_highway_lighting,981,140121,20613057
Arizona Public Service Co.,7,2012,5,rate_refunds,3882,,4620305
Arizona Public Service Co.,7,2012,6,residential,1005074,13256456,1585395614
Arizona Public Service Co.,7,2012,1,sales_for_resale,49,4342927,178534117
Arizona Public Service Co.,7,2011,2,commercial,121116,12588782,1265970898
Arizona Public Service Co.,7,2011,3,industrial,3744,2188600,171428100
Arizona Public Service Co.,7,2011,8,public_authorities,161,3483,204903
Arizona Public Service Co.,7,2011,4,public_street_and_highway_lighting,971,139231,20665695
Arizona Public Service Co.,7,2011,5,rate_refunds,3882,,-9414000
